address,name,price,rating,rating1,rating2,rating3,rating4,rating5
"Alexanderplatz 7, Mitte, 10178 Berlin, Germany",Park Inn by Radisson Berlin Alexanderplatz,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""2f766e8c-759c-42eb-a3ea-26b17151bf27"")>",7.4,8.3,7.4,7.7,7.8,7.3
"Anhalter Str. 8-9, Friedrichshain-Kreuzberg, 10963 Berlin, Germany",relexa hotel Stuttgarter Hof,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""7c59db48-16c6-44c9-ba1e-d00c94023c5a"")>",8.0,8.8,8.0,8.2,8.2,8.1
"2 Alexander-Meißner-Straße, Treptow-Köpenick, 12526 Berlin, Germany",Premier Inn Berlin Airport,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""832fa5f1-f2dd-488d-840e-0d9ecc0e9933"")>",8.8,8.8,9.0,9.3,9.2,9.0
"Unter den Linden 77, Mitte, 10117 Berlin, Germany",Hotel Adlon Kempinski Berlin,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""bcac6ec0-5c92-45af-8200-57d4807c63aa"")>",9.2,9.5,9.1,9.5,9.5,8.4
"Flottwellstraße 45, Mitte, 10785 Berlin, Germany",Grimm's Potsdamer Platz,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""b89896f0-9dc5-432d-834a-fad72dffeb53"")>",8.8,9.3,8.8,9.2,9.1,8.7
"556-0015 Osaka Prefecture, Osaka, 浪速区敷津西１丁目８−34, Japan",Primavera Namba,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""35382046-016d-400b-b7a1-ff05e5179bb5"")>",8.8,8.6,9.1,9.1,9.0,9.0
"Muehlenstrasse 13-19, Friedrichshain-Kreuzberg, 10243 Berlin, Germany",Hotel Indigo Berlin - East Side Gallery,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""169f03e9-9c01-4ee2-a5b4-b2587f61350a"")>",9.0,9.3,9.2,9.5,9.4,8.5
"Mohrenstr. 30, Mitte, 10117 Berlin, Germany",Hilton Berlin,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""80fd6a29-3af0-4afb-8b94-b80fd372cd84"")>",7.7,8.5,7.8,8.2,8.3,7.2
"Französische Straße 30, Mitte, 10117 Berlin, Germany",TITANIC Gendarmenmarkt Berlin,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""6177ffbe-fb7a-42fb-a77c-914c94637cb1"")>",8.5,9.0,8.7,8.9,8.9,8.2
"557-0004 Osaka Prefecture, Osaka, 西成区萩之茶屋１−４−２０, Japan",3U NAMBA MINAMI by DOYANEN,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""feb81a8d-f1ce-4da4-a7c5-687c5cbede74"")>",7.8,8.1,8.1,8.2,8.3,8.8
"Charlottenstrasse 49, Mitte, 10117 Berlin, Germany","Regent Berlin, an IHG Hotel","<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""e9233573-be2b-4f99-a6e4-b8f6cfd51d8e"")>",9.0,9.4,9.1,9.6,9.6,8.4
"532-0011 Osaka Prefecture, Osaka, Yodogawa-ku Nishi-nakajima 6-2-19, Japan",HOTEL MYSTAYS Shin Osaka Conference Center,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""4ccdc503-d367-4068-a631-83423a4cb788"")>",6.8,8.0,7.1,7.2,7.2,7.3
"541-0043 Osaka Prefecture, Osaka, Chuo-ku Koreibashi 2-6-6, Japan",Hotel Resol Trinity Osaka,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""87d3ceba-b915-4491-8e79-78ff7636ea7f"")>",8.9,9.2,9.2,9.2,9.3,9.0
"ul. Towarowa 2, Wola, 00-811 Warsaw, Poland",Golden Tulip Warsaw Centre,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""3e38435c-bb0b-4e3e-ac50-2d5d6d7d175d"")>",9.0,9.1,9.0,9.4,9.3,8.8
"7 Jasna, Sródmiescie, 00-007 Warsaw, Poland",Fantastic - J7 Room E,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""30fec399-ee70-48c9-8d02-1c1e8baf94de"")>",8.2,8.6,7.9,8.2,8.1,8.7
"20A Żurawia, Sródmiescie, 00-515 Warsaw, Poland",ClickTheFlat Żurawia Street Apart Rooms,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""73e3ba22-b800-4c8d-b497-ab59edd21ae7"")>",8.1,8.6,8.1,8.3,8.2,8.4
"37 Kawęczyńska, Praga Pólnoc, 03-775 Warsaw, Poland",JM Millennium Kawęczyńska 37,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""962a275f-3c0f-4edd-9682-2f495bc11357"")>",8.6,9.0,8.9,9.1,8.7,8.8
"7 Jasna, Sródmiescie, 00-002 Warsaw, Poland",ClickTheFlat Jasna Palace of Culture Apart Rooms,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""371eb2c1-8681-4781-874b-07dec35e9448"")>",8.0,8.6,8.1,8.2,8.1,8.5
"ul. Postepu 7   , Mokotów, 02-676 Warsaw, Poland",Hampton By Hilton Warsaw Mokotow,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""89169a02-36ea-41f7-b03d-8948bbf641fe"")>",9.0,9.1,9.0,9.3,9.3,8.8
"ul. Grzybowska 45, Wola, 00-844 Warsaw, Poland",Leonardo Royal Hotel Warsaw,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""da8a68e4-7d30-443a-8cee-c4b75b480979"")>",8.5,8.8,8.5,8.9,8.8,8.5
"ul. Komitetu Obrony Robotników 39F, Wlochy, 02-148 Warsaw, Poland",Hampton by Hilton Warsaw Airport,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""08b476f5-8ad6-4587-9f5d-153920c83c48"")>",8.7,9.1,8.8,9.2,9.1,8.6
"ul Zagórna 1A, Sródmiescie, 00-441 Warsaw, Poland",ibis Styles Warszawa Centrum,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""42011b99-a86a-4b85-bdce-39ea875b50b1"")>",9.0,9.2,9.0,9.3,9.2,8.8
"31 Kasprzaka, Wola, 01-234 Warsaw, Poland",Varsovia Apartamenty Kasprzaka,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""afaa6eaa-95d2-4cd9-bfbb-f03a8a0b0166"")>",8.9,9.0,8.9,9.1,9.0,8.6
"Twarda 52, Wola, 00-831 Warsaw, Poland","Holiday Inn - Warsaw City Centre, an IHG Hotel","<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""a08f29ac-9ee2-4ad6-8b1f-50178c6b0619"")>",9.1,9.3,9.1,9.5,9.4,8.9
"ul. Otwocka 1, Praga Pólnoc, 03-759 Warsaw, Poland",Cloud Hostel,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""963b0309-b281-495c-9309-21de1dc57dcb"")>",7.1,7.9,7.1,7.4,7.2,7.8
"73 Wilcza, Sródmiescie, 00-670 Warsaw, Poland",Nobu Hotel Warsaw,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""94731ed9-e67d-466d-b9fd-99ad0f4c3e7e"")>",9.0,9.2,9.1,9.5,9.5,8.5
"47A Domaniewska, Mokotów, 02-672 Warsaw, Poland",Central House Apartments,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""23326b67-c404-482c-b329-1fedb8380b93"")>",8.9,9.0,9.0,9.2,9.1,9.0
"Dobra 18/20 m. 42, Sródmiescie, 00-388 Warsaw, Poland",ClickTheFlat Copernicus Science Centre Apart Rooms,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""a5b7cd2d-d070-43f4-8fa9-973a0f766c6c"")>",7.7,8.5,8.0,8.0,7.8,8.2
"ul. Królewska 11, Sródmiescie, 00-065 Warsaw, Poland",Sofitel Warsaw Victoria,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""46e44f1c-fb29-460c-8e4f-c46639a607f0"")>",8.9,9.1,9.0,9.2,9.3,8.5
"ul. Gdańska 25, Bielany, 01-633 Warsaw, Poland",Pepe Hostel,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""f4f00f06-1260-4aa8-bf4c-79453f838543"")>",8.1,8.6,8.0,8.4,8.2,8.2
"Smolna 11/ Smolna 10, Sródmiescie, 00-375 Warsaw, Poland",Smolna Apartments by Your Freedom,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""7ea030e1-7d77-4295-ae9e-acf9fbb0e875"")>",7.9,8.7,8.2,8.1,8.0,8.1
"28 Nowy Świat, Sródmiescie, 00-373 Warsaw, Poland",Nowy Świat 28,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""3b53f883-c74b-4b6d-9c46-11911edd066a"")>",9.0,9.6,8.9,9.3,9.3,9.1
