address,name,price,rating,rating1,rating2,rating3,rating4,rating5
"ul. Pustola 19, Wola, 01-129 Warsaw, Poland",Villa Plaza,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""43b732bb-e144-4318-836f-c502767c86b9"")>",8.6,9.4,8.4,8.9,8.5,8.8
"ul. Puławska 361, Ursynow, 02-801 Warsaw, Poland",Arche Hotel Puławska Residence,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""01011a5a-a2c3-4e07-a9be-b128aa4aecba"")>",8.7,9.1,8.7,8.9,8.8,8.6
"ul. Smoluchowskiego 1, Mokotów, 02-679 Warsaw, Poland",Centrum Barnabitów,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""e9cd224d-be3c-44c3-9116-49e6d5ff3e0b"")>",8.6,9.2,8.5,9.0,8.8,8.3
"Foksal 16, Sródmiescie, 00-372 Warsaw, Poland",Moon Hostel Warszawa,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""459bc383-8125-4c42-918a-149f0035e106"")>",8.1,8.7,7.9,8.2,8.1,8.5
"Wolska 191 b, Wola, 01-265 Warsaw, Poland",Fry House,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""8376ae60-a557-4344-8414-f7aff78873c7"")>",7.7,8.7,7.7,8.0,7.7,8.3
"13 Zgoda, Sródmiescie, 00-012 Warsaw, Poland",Fantastic - Z Pokój 1,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""7cd01d4a-81b8-43af-92a3-258684a15328"")>",7.3,8.0,7.3,8.0,6.6,7.6
"Bolesława Prusa 2, Sródmiescie, 00-493 Warsaw, Poland",Sheraton Grand Warsaw,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""b3220766-5872-4304-948a-651d542103a6"")>",9.0,9.1,9.0,9.4,9.3,8.6
"6 Zgoda, Sródmiescie, 00-018 Warsaw, Poland",Fantastic - Z6 Room - 101A,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""528b0cb9-ac31-4f33-9b32-751c85f9fb7f"")>",8.3,8.8,8.3,8.5,8.4,8.4
"Ul. Widok 9, Sródmiescie, 00-023 Warsaw, Poland",PURO Warszawa Centrum,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""91f7a5a4-2992-43dd-b318-e5d5a998bbbf"")>",9.4,9.5,9.5,9.7,9.7,9.1
"ul. Mszczonowska 5, Ochota, 02-337 Warsaw, Poland",Hampton By Hilton Warsaw Reduta,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""505a2e92-f643-43d3-82f7-fc28ba5ab853"")>",9.0,9.0,9.0,9.3,9.3,8.8
"39 Grzybowska, Wola, 00-855 Warsaw, Poland",IVORY HOUSE ( CENTRUM ),"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""07c7753b-ea5f-4d0d-a462-8ee6b92eb0f0"")>",7.6,8.2,7.6,8.0,7.7,8.0
"Krakowskie Przedmiescie 42/44, Sródmiescie, 00-325 Warsaw, Poland","Hotel Bristol, A Luxury Collection Hotel, Warsaw","<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""1d9b6bcb-14f7-486c-9a40-e057c2300f7e"")>",9.2,9.3,9.2,9.5,9.5,8.7
"Aleja Krakowska 42, Wlochy, 02-284 Warsaw, Poland",Air Hotel,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""cbee6c58-4357-4009-9300-77e2dd1e0269"")>",8.9,9.2,9.0,9.3,9.1,8.9
"Rondo Ignacego Daszyńskiego 2, Wola, Warsaw, Poland","Crowne Plaza - Warsaw - The HUB, an IHG Hotel","<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""9e6b6f3c-f5e5-412a-9e7f-9875387750d7"")>",9.4,9.5,9.5,9.7,9.7,9.2
"Smolna 11, Sródmiescie, 00-375 Warsaw, Poland",Exclusive Apartments Smolna,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""1b988ffd-e62b-4590-ac26-dfd128afd39a"")>",8.4,8.9,8.4,8.8,8.6,8.5
"ul. Jagielońska 55, Praga Pólnoc, 03-301 Warsaw, Poland",Hotel Sante,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""1a6c2b5b-fc04-4fb0-88d1-f461e3f756b3"")>",8.8,8.9,9.1,9.4,9.3,8.6
"19 Tadeusza Czackiego, Sródmiescie, 00-043 Warsaw, Poland",Fantastic - C19 Room F,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""7bc60e7a-aecf-4525-b585-234a04bedb19"")>",8.4,8.4,8.1,8.6,8.1,8.6
"ul. Poleczki 31, Ursynow, 02-822 Warsaw, Poland",ibis Styles Warszawa Airport,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""b0563c0a-891e-4d92-9811-c1083b838da6"")>",9.1,9.3,9.1,9.4,9.4,8.9
"ul. Postępu 4, Mokotów, 02-676 Warsaw, Poland",Vienna House by Wyndham Mokotow Warsaw,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""095a216c-cbae-448c-a50e-bdcd20afc654"")>",9.2,9.1,9.2,9.5,9.4,9.0
"Łopuszańska 26C, Wlochy, 02-220 Warsaw, Poland",L26 Łopuszańska,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""27fa6390-9c32-4b07-a490-63d6ba49ed31"")>",8.8,9.3,8.7,9.1,8.9,9.0
"Waliców 11, Wola, 02-019 Warsaw, Poland",Mennica Residence I,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""9933a205-afe6-498a-9c78-97e6c3ac7871"")>",8.6,8.8,8.6,8.8,8.7,8.3
"49 Tamka, Sródmiescie, 00-355 Warsaw, Poland",ClickTheFlat Tamka Street Apart Rooms,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""6f8fa49d-f8d9-402f-9dd2-0bfd690e47b7"")>",7.8,8.4,7.8,7.8,7.8,8.1
"Sienna 86, Wola, 00-815 Warsaw, Poland",ClickTheFlat Sienna Center Apart Rooms,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""8a210270-c53e-4194-80af-02b3a98d80ba"")>",8.5,8.9,8.5,8.6,8.5,8.8
"Dzwonkowa 62, Wlochy, 02-290 Warsaw, Poland",Waw Hotel Airport Okęcie,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""917eafe5-0489-421d-bff9-e9847d3760cb"")>",8.2,8.9,8.1,8.7,8.4,8.3
"ul. Grójecka 194, entrance A3, Ochota, 02-390 Warsaw, Poland",Triton Apartments in Warsaw,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""bdc53933-9037-498d-8ee8-893480662219"")>",7.7,8.0,7.8,7.9,7.9,7.7
"13/19 Icchoka Lejba Pereca 1218, Wola, 00-849 Warsaw, Poland",HALBY rooms Pereca 13/19,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""e5157d27-994d-425e-8b94-1af689d70dea"")>",7.2,7.8,7.1,7.5,7.3,7.6
"550-0014 Osaka Prefecture, Osaka, Nishi-ku Kita-horie 1-9-22, Japan",Toyoko Inn Osaka Shinsaibashi Nishi,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""0b7808ce-0f38-4a2f-8557-7dc8b4ddc638"")>",7.8,8.8,7.9,8.2,8.2,8.4
"15 Suwak, Mokotów, 02-676 Warsaw, Poland",Focus Hotel Premium Warszawa,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""3e7b17bf-6220-48f3-9133-68143dbab62b"")>",9.4,9.3,9.4,9.6,9.6,9.2
"556-0023 Osaka Prefecture, Osaka, Naniwa-ku Inari 1-9-27, Japan",Hotel. Links Namba,"<selenium.webdriver.remote.webelement.WebElement (session=""dd599e3a-30b0-478e-aa85-509795848edc"", element=""1ed514b7-4489-4879-abb2-1248e9ffbbe1"")>",8.3,9.0,8.6,8.8,8.7,8.3
