address,name,price,rating,rating1,rating2,rating3,rating4,rating5
"530-0005 Osaka Prefecture, Osaka, 5-3-68 Nakanoshima, Kita-Ku, Japan",RIHGA Royal Hotel Osaka,"<selenium.webdriver.remote.webelement.WebElement (session=""1fb08cd0-1726-4034-93ab-2c2e5a367c48"", element=""68c06ea3-e28d-4b2b-baad-4e516c68d73d"")>",8.2,8.9,8.3,8.6,8.7,8.3
"532-0011 Osaka Prefecture, Osaka, Yodogawa-ku Nishinakajima 7-1-17, Japan",SARASA HOTEL Shin-Osaka,"<selenium.webdriver.remote.webelement.WebElement (session=""1fb08cd0-1726-4034-93ab-2c2e5a367c48"", element=""3e557b93-0c8c-470e-bf93-8f4adb76034e"")>",7.8,8.6,8.0,8.3,8.3,8.2
"542-0086 Osaka Prefecture, Osaka, Chuo-ku Shinsaibashi Nishi 1-9-30 , Japan",HOTEL MYSTAYS Shinsaibashi,"<selenium.webdriver.remote.webelement.WebElement (session=""1fb08cd0-1726-4034-93ab-2c2e5a367c48"", element=""5790c596-eab7-4607-b35f-18557f948441"")>",7.8,8.6,8.0,8.0,7.9,8.3
"533-0033 Osaka Prefecture, Osaka, Higashi-yodogawa-ku Higashi-nakajima 1-16-6, Japan",Shin-Osaka Station Hotel,"<selenium.webdriver.remote.webelement.WebElement (session=""1fb08cd0-1726-4034-93ab-2c2e5a367c48"", element=""80586cb3-24ef-4473-8aaa-e16fff92b41d"")>",9.0,9.6,9.2,9.6,9.5,9.0
"556-0003 Osaka Prefecture, Osaka, 3-16-30 Ebisu-nishi, Naniwa-ku, Japan",OMO7 Osaka by Hoshino Resorts,"<selenium.webdriver.remote.webelement.WebElement (session=""1fb08cd0-1726-4034-93ab-2c2e5a367c48"", element=""9888808c-666b-4675-8ca9-930db5158b6f"")>",8.5,8.8,8.9,9.1,9.1,8.1
"Smolna 11/ Smolna 10, Sródmiescie, 00-375 Warsaw, Poland",Smolna Apartments by Your Freedom,"<selenium.webdriver.remote.webelement.WebElement (session=""1fb08cd0-1726-4034-93ab-2c2e5a367c48"", element=""b17b30ad-6a5d-490d-bfa3-9a2e89027262"")>",7.9,8.7,8.2,8.1,8.0,8.1
"Dobra 18/20 m. 42, Sródmiescie, 00-388 Warsaw, Poland",ClickTheFlat Copernicus Science Centre Apart Rooms,"<selenium.webdriver.remote.webelement.WebElement (session=""1fb08cd0-1726-4034-93ab-2c2e5a367c48"", element=""178640e9-232c-47a6-a12d-2e0f27e41a03"")>",7.7,8.5,8.0,8.0,7.8,8.2
"ul. Pustola 19, Wola, 01-129 Warsaw, Poland",Villa Plaza,"<selenium.webdriver.remote.webelement.WebElement (session=""1fb08cd0-1726-4034-93ab-2c2e5a367c48"", element=""0de05171-f5b9-4432-9f2e-9315f040e75a"")>",8.6,9.4,8.4,8.9,8.5,8.8
"541-0056 Osaka Prefecture, Osaka, Lub d Osaka Honmachi ラブディ大阪本町 3 Chome-3-6 Kyutaromachi, Chuo Ward, Osaka, Japan 541-0056, Japan",Lub d Osaka Honmachi,"<selenium.webdriver.remote.webelement.WebElement (session=""1fb08cd0-1726-4034-93ab-2c2e5a367c48"", element=""5c4503b4-3ec7-4a51-96b8-b9869d6c8a56"")>",8.7,9.8,9.1,9.0,9.3,9.2
"541-0041 Osaka Prefecture, Osaka, Chuo-ku Kitahama 2-1-16, Japan",THE BOLY OSAKA,"<selenium.webdriver.remote.webelement.WebElement (session=""1fb08cd0-1726-4034-93ab-2c2e5a367c48"", element=""92b809e2-7309-480d-b6e2-ae232f288e89"")>",9.0,9.7,9.2,9.5,9.5,8.9
"550-0002 Osaka Prefecture, Osaka, Nishi-ku Edobori 1-13-10, Japan",RIHGA PLACE HIGOBASHI,"<selenium.webdriver.remote.webelement.WebElement (session=""1fb08cd0-1726-4034-93ab-2c2e5a367c48"", element=""705498f6-28a2-487e-bd7a-e847c87cb0e3"")>",7.9,8.6,8.1,8.4,8.4,8.4
